iter	Passed	Remaining
131	10576	109605
132	10651	109483
133	10740	109489
134	10823	109437
135	10896	109289
136	10980	109241
137	11062	109181
138	11143	109113
139	11214	108943
140	11285	108769
141	11356	108608
142	11437	108539
143	11512	108409
144	11590	108311
145	11664	108179
146	11738	108039
147	11813	107921
148	11891	107817
149	11961	107651
150	12035	107520
151	12121	107502
152	12198	107397
153	12276	107299
154	12350	107171
155	12429	107084
156	12514	107054
157	12596	106986
158	12672	106882
159	12747	106763
160	12827	106686
161	12899	106542
162	12974	106426
163	13052	106327
164	13129	106225
165	13220	106245
166	13291	106097
167	13373	106035
168	13465	106049
169	13543	105955
170	13616	105829
171	13692	105719
172	13773	105651
173	13857	105601
174	13937	105526
175	14009	105390
176	14085	105280
177	14160	105167
178	14240	105089
179	14311	104950
180	14385	104828
181	14455	104681
182	14536	104618
183	14611	104507
184	14686	104392
185	14758	104262
186	14833	104148
187	14917	104104
188	15014	104146
189	15046	103741
190	15135	103728
191	15224	103714
192	15306	103655
193	15387	103588
194	15466	103508
195	15581	103667
196	15671	103656
197	15748	103561
198	15826	103469
199	15911	103427
200	15987	103325
201	16066	103238
202	16141	103133
203	16217	103030
204	16290	102905
205	16362	102781
206	16433	102648
207	16507	102539
208	16582	102433
209	16659	102338
210	16730	102207
211	16805	102100
212	16877	101975
213	16928	101727
214	17001	101611
215	17076	101511
216	17148	101389
217	17225	101300
218	17293	101158
219	17381	101131
220	17459	101045
221	17514	100825
222	17584	100695
223	17658	100590
224	17726	100448
225	17802	100356
226	17871	100223
227	17948	100132
228	18016	99993
229	18088	99879
230	18133	99619
231	18207	99512
232	18281	99409
233	18356	99312
234	18425	99183
235	18497	99069
236	18570	98962
237	18648	98881
238	18720	98773
239	18801	98705
240	18871	98585
241	18951	98517
242	19023	98405
243	19106	98354
244	19187	98289
245	19267	98216
246	19343	98129
247	19437	98128
248	19521	98078
249	19607	98038
250	19698	98023
251	19791	98015
252	19875	97963
253	19962	97924
254	20042	97852
255	20123	97785
256	20202	97710
257	20280	97631
258	20371	97610
259	20462	97590
260	20545	97532
261	20632	97494
262	20718	97445
263	20819	97473
264	20899	97401
265	20991	97380
266	21060	97257
267	21134	97155
268	21203	97029
269	21277	96929
270	21343	96794
271	21416	96687
272	21483	96558
273	21555	96448
274	21624	96327
275	21696	96219
276	21764	96091
277	21836	95986
278	21904	95859
279	21975	95752
280	22045	95633
281	22116	95524
282	22183	95398
283	22263	95324
284	22337	95228
285	22422	95177
286	22491	95061
287	22568	94974
288	22638	94860
289	22712	94765
290	22782	94652
291	22864	94588
292	22936	94484
293	23008	94382
294	23081	94281
295	23156	94190
296	23226	94079
297	23299	93979
298	23375	93892
299	23449	93796
300	23522	93697
301	23594	93595
302	23667	93498
303	23740	93399
304	23810	93291
305	23884	93197
306	23955	93090
307	24028	92994
308	24103	92904
309	24179	92817
310	24251	92716
311	24330	92643
312	24401	92539
313	24477	92452
314	24550	92355
315	24622	92258
316	24697	92165
317	24776	92094
318	24853	92014
319	24936	91951
320	25012	91868
321	25089	91786
322	25167	91708
323	25238	91606
324	25305	91488
325	25374	91378
326	25440	91259
327	25513	91163
328	25585	91066
329	25659	90973
330	25730	90872
331	25808	90797
332	25884	90713
333	25966	90650
334	26040	90557
335	26114	90467
336	26185	90368
337	26258	90272
338	26324	90157
339	26396	90058
340	26464	89946
341	26536	89852
342	26604	89741
343	26677	89647
344	26744	89536
345	26816	89441
346	26884	89331
347	26965	89264
348	27042	89185
349	27120	89110
350	27193	89019
351	27268	88932
352	27336	88823
353	27408	88728
354	27478	88628
355	27558	88558
356	27634	88475
357	27713	88405
358	27813	88400
359	27896	88338
360	27965	88233
361	28036	88136
362	28109	88045
363	28190	87978
364	28267	87901
365	28341	87813
366	28420	87740
367	28490	87640
368	28560	87540
369	28632	87446
370	28700	87337
371	28774	87251
372	28842	87146
373	28916	87057
374	28984	86954
375	29062	86879
376	29134	86784
377	29206	86693
378	29275	86590
379	29347	86498
380	29416	86397
381	29489	86305
382	29554	86194
383	29627	86105
384	29695	86001
385	29770	85917
386	29846	85837
387	29927	85771
388	29998	85676
389	30072	85591
390	30141	85491
391	30215	85405
392	30289	85318
393	30379	85277
394	30455	85199
395	30530	85116
396	30602	85024
397	30675	84934
398	30747	84843
399	30822	84763
400	30894	84671
401	30968	84584
402	31034	84477
403	31106	84386
404	31174	84287
405	31248	84200
406	31318	84105
407	31394	84025
408	31465	83933
409	31538	83847
410	31606	83746
411	31682	83667
412	31752	83572
413	31827	83489
414	31908	83422
415	31992	83364
416	32070	83292
417	32146	83210
418	32219	83125
419	32305	83071
420	32382	82995
421	32454	82905
422	32524	82810
423	32602	82737
424	32690	82687
425	32767	82611
426	32841	82527
427	32917	82446
428	32987	82353
429	33060	82265
430	33138	82191
431	33218	82123
432	33292	82040
433	33367	81958
434	33436	81861
435	33504	81763
436	33572	81665
437	33647	81584
438	33718	81491
439	33786	81394
440	33856	81301
441	33926	81208
442	34001	81127
443	34081	81059
444	34161	80988
445	34231	80896
446	34307	80818
447	34378	80727
448	34445	80629
449	34518	80542
450	34592	80460
451	34664	80372
452	34729	80269
453	34801	80181
454	34880	80109
455	34959	80038
456	35034	79958
457	35110	79879
458	35179	79786
459	35249	79694
460	35320	79604
461	35395	79523
462	35476	79458
463	35570	79420
464	35639	79326
465	35714	79246
466	35784	79153
467	35854	79064
468	35925	78975
469	36007	78910
470	36083	78832
471	36159	78754
472	36228	78660
473	36303	78580
474	36370	78483
475	36443	78398
476	36511	78304
477	36591	78235
478	36664	78151
479	36736	78064
480	36809	77980
481	36889	77911
482	36964	77831
483	37058	77793
484	37157	77763
485	37255	77730
486	37340	77671
487	37443	77649
488	37518	77568
489	37601	77504
490	37679	77430
