iter	Logloss
178	0.3395451718
179	0.3390863072
180	0.338637268
181	0.3384070409
182	0.3380546479
183	0.3374966141
184	0.3373177708
185	0.3370661241
186	0.3367249029
187	0.3364369856
188	0.3363409214
189	0.336319032
190	0.336018455
191	0.3354297276
192	0.3351911799
193	0.33436502
194	0.3341212382
195	0.333892401
196	0.3334444525
197	0.3328642296
198	0.3323947392
199	0.3318539328
200	0.3312895517
201	0.3307623813
202	0.3303560305
203	0.3296738255
204	0.3292246529
205	0.3287055468
206	0.328113295
207	0.3276203013
208	0.3270648099
209	0.3268693592
210	0.3264104643
211	0.325867825
212	0.3254822777
213	0.325402131
214	0.3249964092
215	0.3245735452
216	0.3237730765
217	0.3234063772
218	0.3230876968
219	0.3227705305
220	0.3223950254
221	0.3222104334
222	0.3216279122
223	0.3211404658
224	0.3210327063
225	0.3208625188
226	0.3202054685
227	0.3197664335
228	0.319636428
229	0.3192676197
230	0.3191841401
231	0.3187274072
232	0.31846765
233	0.3183785833
234	0.3178648222
235	0.3177440722
236	0.3173956474
237	0.3170934967
238	0.3166924989
239	0.3161144403
240	0.315865876
241	0.3154271151
242	0.3149733457
243	0.3146700589
244	0.3143396806
245	0.3141710613
246	0.3136813595
247	0.3132771747
248	0.3125863839
249	0.3121252952
250	0.3116876813
251	0.3113515646
252	0.3109021733
253	0.3105492688
254	0.310110284
255	0.3095313961
256	0.3093415038
257	0.308974779
258	0.3086909913
259	0.3081210148
260	0.3077472164
261	0.3069094221
262	0.3065251967
263	0.3060890146
264	0.3058811636
265	0.3050931605
266	0.3048547362
267	0.3047161716
268	0.304262719
269	0.3040025772
270	0.3039101488
271	0.3037043522
272	0.3032558277
273	0.3027181897
274	0.3025104846
275	0.3019429239
276	0.3015232186
277	0.3011975182
278	0.3008098291
279	0.3003639714
280	0.2998556625
281	0.2994892085
282	0.2992131403
283	0.2986097417
284	0.2984815317
285	0.298038064
286	0.2977287149
287	0.2976301134
288	0.2973254022
289	0.297195953
290	0.2965733843
291	0.2961152094
292	0.2958290589
293	0.2956501179
294	0.2952344866
295	0.294892654
296	0.2941009674
297	0.2937533231
298	0.2931850824
299	0.2929345454
300	0.2924935077
301	0.292366402
302	0.2920379495
303	0.291759498
304	0.2915211778
305	0.291410257
306	0.2909294353
307	0.2902676462
308	0.2900993429
309	0.2899130569
310	0.2896020002
311	0.2889879618
312	0.2886572167
313	0.2885198586
314	0.2881200808
315	0.2875172773
316	0.2870252195
317	0.2865721854
318	0.2864064663
319	0.2861308142
320	0.2857495163
321	0.2857078967
322	0.2855406806
323	0.2854107461
324	0.2848792673
325	0.2848453328
326	0.2840684816
327	0.2840135015
328	0.2837063086
329	0.2834575488
330	0.2830211562
331	0.2827200026
332	0.2821944333
333	0.2817460204
334	0.2813451974
335	0.2812660792
336	0.2807119915
337	0.2802657592
338	0.2798784892
339	0.279339265
340	0.2787577674
341	0.2783837777
342	0.2778344293
343	0.2776045459
344	0.277224796
345	0.2768909473
346	0.2763654154
347	0.2758439645
348	0.2754644565
349	0.2753985869
350	0.2750725613
351	0.2749557138
352	0.2746001868
353	0.2744165891
354	0.2740158511
355	0.2738188315
356	0.2732015451
357	0.272697114
358	0.272355606
359	0.2722171628
360	0.2721595431
361	0.271601704
362	0.271208342
363	0.2710234922
364	0.2705149907
365	0.2702195161
366	0.2699451042
367	0.2694572581
368	0.2691518631
369	0.2688532292
370	0.2683387711
371	0.2679065044
372	0.2672478065
373	0.2668601348
374	0.2664759518
375	0.266398227
376	0.2662232743
377	0.2659471697
378	0.2656338121
379	0.2654405538
380	0.2649665703
381	0.2648024387
382	0.264650775
383	0.2640399839
384	0.2635250398
385	0.2632957046
386	0.2629890093
387	0.2628031398
388	0.2624589862
389	0.2623509222
390	0.2619428462
391	0.2616087028
392	0.2614049519
393	0.2613754749
394	0.2609345132
395	0.2601576625
396	0.2598674735
397	0.2597548818
398	0.2594405336
399	0.2591548921
400	0.2590293689
401	0.2586623085
402	0.2578753667
403	0.2577015942
404	0.257431741
405	0.2570307268
406	0.2568377759
407	0.2562949992
408	0.2558985539
409	0.2558109027
410	0.2553961112
411	0.2549274347
412	0.2544723119
413	0.2541698956
414	0.2539341113
415	0.2536098672
416	0.2533649241
417	0.2531171274
418	0.2525198387
419	0.252223833
420	0.2519775374
421	0.2517039206
422	0.2512073157
423	0.2507599373
424	0.2501965138
425	0.2497659876
426	0.2493967787
427	0.2492895588
428	0.2491862181
429	0.2486494854
430	0.2483993668
431	0.2480967095
432	0.2476269485
433	0.2471663687
434	0.2467650798
435	0.2465215381
436	0.2462986701
437	0.2460296842
438	0.2455930576
439	0.2453815379
440	0.2450050107
441	0.2446898747
442	0.244610464
443	0.2442871712
444	0.243775258
445	0.2432104598
446	0.2430009017
447	0.2425990102
448	0.2422453251
449	0.2417343163
450	0.2416788123
451	0.2414265934
452	0.2411398829
453	0.2406844634
454	0.2403306184
455	0.2402575457
456	0.2400594322
457	0.2396394519
458	0.2394205191
459	0.2390688826
460	0.2387718512
461	0.2384541306
462	0.238117179
463	0.2377817812
464	0.2372817509
465	0.2367061781
466	0.236388664
467	0.2361801191
468	0.2358723816
469	0.2356687513
470	0.2354363333
471	0.2350512983
472	0.2348266612
473	0.2346106775
474	0.2342730434
475	0.2339883139
476	0.2338385464
477	0.2335940192
478	0.2333429708
479	0.2331460356
480	0.2329121331
481	0.2324994037
482	0.2321902238
483	0.2319287628
484	0.2318955748
485	0.2311848723
486	0.2307784327
487	0.2305395875
488	0.2299904018
489	0.2294320899
490	0.2291399615
